workers,repetition,requests,concurrency,duration_seconds,throughput,mean_ms,median_ms,p95_ms,successes,errors
1,1,500,40,1.10752889997093,451.455487990538,83.22323020000476,81.77509999950416,108.91949496581219,500,0
1,2,500,40,1.0907040999736637,458.41947418376174,82.80548300035298,80.81114999367855,104.35741499532014,500,0
1,3,500,40,0.9308028999948874,537.1706512761685,70.27466400049161,70.90990000870079,81.56727499444969,500,0
2,1,500,40,0.6983476000023074,715.9758263626136,52.49117959907744,55.59870001161471,64.34974499570671,500,0
2,2,500,40,0.7786119999946095,642.1683714140825,58.09960200008936,57.854599988786504,68.92212997481693,500,0
2,3,500,40,0.7763256999896839,644.0595744887025,58.57151720125694,60.706399992341176,66.77413994912058,500,0
4,1,500,40,0.613172699988354,815.4309544594802,46.180423799552955,47.19725000904873,54.94159998779651,500,0
4,2,500,40,0.6294202000135556,794.3818771453978,47.608488999539986,48.120199964614585,58.50431997096166,500,0
4,3,500,40,0.5942451999871992,841.4035149308243,44.582532000145875,46.140350023051724,49.998029961716384,500,0
8,1,500,40,0.6996251000091434,714.6684702899674,53.155732201528735,51.87714999192394,73.8060350267915,500,0
8,2,500,40,0.6391726000001654,782.261317208952,48.59314180118963,50.35145001602359,54.03712504194118,500,0
8,3,500,40,0.624241899990011,800.9715464597953,47.34775520057883,49.10970001947135,53.66006002004724,500,0
12,1,500,40,0.6371543999994174,784.7391464305312,48.19351380097214,49.942499987082556,61.84812997817062,500,0
12,2,500,40,0.6688955000136048,747.5009175421728,50.29124400042929,51.30395002197474,59.34457000403199,500,0
12,3,500,40,0.698302100005094,716.0224779452226,53.052778199198656,53.91464996500872,64.68550504359882,500,0
16,1,500,40,0.7419860000372864,673.8671618802429,55.622718197409995,56.06565001653507,69.69980998837855,500,0
16,2,500,40,0.8725272999727167,573.0479722704775,65.70547580020502,66.86519997310825,81.50041002372745,500,0
16,3,500,40,0.7681978999753483,650.8739479970528,57.77132399845868,58.29539999831468,68.00575999659486,500,0
20,1,500,40,0.7740540000377223,645.9497657471356,59.12895000143908,59.86835001385771,70.24639495939482,500,0
20,2,500,40,0.7711160999606363,648.4107905742388,58.77421559847426,59.14085000404157,72.70050500228535,500,0
20,3,500,40,0.6987331999698654,715.5807109517106,52.76295999926515,53.45445001148619,62.247104980633594,500,0
